country,station,location,email-href
South Africa,"Bok Radio

      Die Beter Alternatief","Cape Town, South Africa",mailto:info@bokradio.co.za
Tunisia,"Express FM

      Createur de valeur","Tunis, Tunisia",mailto:contact@expressfm.tn
Burkina Faso,"Radio Municipale de Ouagadougou

      French",,http://tunein.com/Syndication/Edit/?stationId=111826
Algeria,"Radio Algerie Internationale

      L’USM Bel Abbès a franchi...","Chrea, Algeria",http://tunein.com/Syndication/Edit/?stationId=66859
Mauritius,"Top FM

      Fresh Air You Can Hear !",,mailto:topfm@intnet.mu
Seychelles,"BBC World Service Victoria

      BBC World Service is the...","Victoria, Seychelles",mailto:worldservice@bbc.co.uk
Eritrea,"Dimtsi Hafash Radio 1

      Alenalki Eritrea Forever !!!","Asmara, Eritrea",mailto:webmaster@alenalki.com
Ethiopia,"Radio Ethiopia - National Service

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=16098
Madagascar,"Radio Fanambarana

      French","Antananarivo, Madagascar",http://tunein.com/Syndication/Edit/?stationId=176588
Gambia,"Senn FM Radio

      The Radio That Makes The difference","Banjul, Gambia",http://tunein.com/Syndication/Edit/?stationId=252113
Libya,"Al Madina TV

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=111214
Tunisia,"Cap FM

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=176833
Sudan,"Capital FM Juba

      The Voice of South Sudan",,http://tunein.com/Syndication/Edit/?stationId=86936
Reunion,"Radio 102 FM

      cocadillaz.com - house music prod.",,mailto:info@cocadillaz.com
Madagascar,"Radio Antsiva

      French",,http://tunein.com/Syndication/Edit/?stationId=10195
Senegal,"Radio Senegal International

      Multilingual","Dakar, Senegal",http://tunein.com/Syndication/Edit/?stationId=16350
Tanzania,"CG FM Radio

      The point of no return","Tabora, Tanzania",mailto:info@cgfmradio.com
Tanzania,"Pride FM

      Inapasua mawimbi",,mailto:info@878pridefm.com
Lesotho,"Joy Radio

      English",,http://tunein.com/Syndication/Edit/?stationId=142261
Morocco,"Atlantic Radio

      La Première Radio",,mailto:info@atlanticradio.ma
Morocco,"Radio Mars

      Sport 'N' Music",,"mailto:contact@radiomars.ma        """
Ethiopia,"Radio Ethiopia - External Service

      Multilingual","Addis Abeba, Ethiopia",http://tunein.com/Syndication/Edit/?stationId=16100
Gambia,"Taranga FM

      The Voice of Kombo North","Banjul, Gambia",mailto:alagie72@yahoo.com
Malawi,"Radio Tigabane

      Radio Tigabane is a...",,mailto:tigabane@mzuzu.org
Cote D'ivoire,"RTI La Chaîne Nationale

      French","Abidjan, Côte d'Ivoire",http://tunein.com/Syndication/Edit/?stationId=16120
Togo,"Radio SPORT FM

      La radio qui mouille le maillot",,mailto:radiosportfm@yahoo.fr
Tunisia,"Radio Oasis Fm

      Arabic","Gabès, Tunisia",mailto:contact@oasisfm.tn
Egypt,"Mega FM 92.7

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=143123
Lesotho,"Harvest FM

      English",,http://tunein.com/Syndication/Edit/?stationId=142260
Angola,"RNA R Kwanza Norte

      Portuguese","N'Dalatando, Angola",http://tunein.com/Syndication/Edit/?stationId=251465
Egypt,"Radio Cairo

      Radio Cairo","Cairo, Egypt",mailto:Webmaster@radiocairo.cjb.net
