country,location,station,email-href
New Zealand,Hamilton,"LiveSport

      Sport Radio You Can Bet On",
Australia,Queensland,"97.3 FM

      Brisbane's Widest Variety of Music from the '80's to Now",
New Zealand,Nelson,"Fresh FM

      Radio By, For and About the Top of the South",
New Zealand,Invercargill,"Radio Hauraki

      Radio Hauraki is a rock...",mailto:team@hauraki.co.nz
New Zealand,Rotorua,"Pumanawa FM

      English",
Australia,Tasmania,"Kinderling Kids Radio

      Kids Radio is here!",mailto:hello@kinderling.com.au
New Zealand,New Plymouth,"Most FM

      Taranaki's Alternative Radio Station",
New Zealand,Tauranga,"Chase FM Paeroa

      Broadcasting since 9th...",mailto:chasefm@hotmail.com
Northern Mariana Islands,Saipan,"KPRG

      Public Radio For Guam",
New Zealand,Hamilton,"More FM Waikato

      Live it. Love it. Sing it!",
American Samoa,Pago Pago,"KKBT

      English",
New Zealand,Gisborne,"Radio New Zealand Concert

      Radio New Zealand's fine music network",
New Zealand,Invercargill,"LiveSport

      Sport Radio You Can Bet On",
Australia,Victoria,"Magic 1278

      Playing The Best Songs Of All Time",
New Zealand,Wanganui,"RadioLIVE

      The New Voice of Talk Radio",mailto:rfullard@radiolive.co.nz
New Zealand,Queenstown,"LiveSport

      Sport Radio You Can Bet On",
Australia,Victoria,"PBS-FM

      Home of Little Heard Music",
Australia,South Australia,"Triple M Adelaide

      Triple M Adelaide 104.7 is real music.",
Australia,More in...,"Velvet Deluxe

      The Home of Luxury Listening",
New Zealand,Wanganui,"Brian FM Whanganui

      Playing what we feel like",mailto:brian@brianfm.com
New Zealand,Queenstown,"Radio Wanaka

      English",mailto:info@wanakalive.com
Australia,Australian Capital Territory,"Mix 106.3

      Canberra's Best Mix",mailto:gkingston@mix106.com.au
New Zealand,Whakatane,"Radio New Zealand Concert

      Radio New Zealand's fine music network",
Australia,Tasmania,"SBS PopDesi

      non-stop Desi pop",
New Zealand,Otago,"The HAWK

      The best rock and pop classics",
New Zealand,Queenstown,"George FM

      beats working...",
New Zealand,More in...,"Ski FM

      Today's Hottest Hit Music",
Australia,Queensland,"ABC Gold Coast

      News, talk, music,...",
New Zealand,Whangarei,"Big River FM

      ""The Voice Of The Kaipara""",
Australia,Western Australia,"ABC Country

      Australia's home of country music",
New Zealand,More in...,"Radio Samoa

      Radio Samoa in its 12th...",
New Zealand,Hastings,"LiveSport

      Sport Radio You Can Bet On",
New Zealand,Wellington,"Brian FM Marlborough

      Playing what we feel like",
Australia,Western Australia,"hit 92.9

      Perth's Number 1 Hit Music Station",
Australia,Western Australia,"Koffee

      Time to Chill",
Northern Mariana Islands,Saipan,"KPRG

      Public Radio For Guam",http://tunein.com/Syndication/Edit/?stationId=43744
Federated States of Micronesia,More in...,"Baptist Radio

      English",
Australia,South Australia,"Mix 102.3

      Adelaide's Widest Variety of Music",
Australia,Tasmania,"936 ABC Hobart

      Telling your stories, giving you a voice.",http://tunein.com/Syndication/Edit/?stationId=9117
Australia,New South Wales,"Energy Groove Australia

      The power of big sound, the beat of great music.",mailto:info@energy-groove.com.au
New Zealand,Dunedin,"LiveSport

      Sport Radio You Can Bet On",
Australia,New South Wales,"702 ABC Sydney

      News and information,...",http://tunein.com/Syndication/Edit/?stationId=9118
New Zealand,Palmerston North,"More FM Manawatu

      Live it. Love it. Sing it!",
American Samoa,Pago Pago,"93KHJ

      American Samoa's #1 Hit Music Station",
New Zealand,Queenstown,"Local Radio Central

      Local Radio Central",mailto:alexandra@localradiocentral.nz
Australia,More in...,"SBS Chill

      Chill - World Music",
New Zealand,Whakatane,"Tumeke FM

      English",http://tunein.com/Syndication/Edit/?stationId=118788
Australia,More in...,"MyMP

      English",
Australia,New South Wales,"2UE

      Join The Conversation",
Australia,Western Australia,"triple j Unearthed

      triple j Unearthed - Listen, download, discover",
New Zealand,Invercargill,"Niu FM

      English",mailto:info@niufm.com
New Zealand,Timaru,"The Sound

      The Soundtrack Of Our Lives",
New Zealand,Tauranga,"Kiss-FM

      Mt Maunganui's home of Old School and New School Rock!",
Australia,Victoria,"KIIS 101.1

      The widest variety from 2K to today",
New Zealand,Dunedin,"Niu FM

      English",mailto:info@niufm.com
New Zealand,Timaru,"The Sound

      The Soundtrack Of Our Lives",mailto:studio@thesound.co.nz
New Zealand,Dunedin,"Niu FM

      English",
American Samoa,Pago Pago,"KKBT

      English",http://tunein.com/Syndication/Edit/?stationId=153362
Australia,Western Australia,"triple j Unearthed

      triple j Unearthed - Listen, download, discover",http://tunein.com/Syndication/Edit/?stationId=144851
New Zealand,Christchurch,"Dave FM

      Uninterrupted 70's, 80's and 90s!",
New Zealand,Nelson,"More FM Nelson

      Today's Best Music Mix",mailto:nelson@morefm.co.nz
New Zealand,Palmerston North,"More FM Manawatu

      Live it. Love it. Sing it!",mailto:feedback@morefm.co.nz
Australia,Queensland,"96five Family Radio

      Family's Number One!",
New Zealand,Tauranga,"Coast

      Love the Music",
Federated States of Micronesia,More in...,"V6AH

      English",
New Zealand,More in...,"Radio Samoa

      Radio Samoa in its 12th...",mailto:info@radiosamoa.co.nz
New Zealand,Palmerston North,"Access Manawatu

      English",
New Zealand,Wellington,"Beach FM

      We are a completely live...",
Australia,More in...,"Fine Music Digital

      English",
New Zealand,Whakatane,"RadioLIVE

      The New Voice of Talk Radio",mailto:rfullard@radiolive.co.nz
Federated States of Micronesia,More in...,"V6AI

      English",http://tunein.com/Syndication/Edit/?stationId=45271
New Zealand,Rotorua,"DA Bomb Tokoroa

      English",
New Zealand,Tauranga,"Kiss-FM

      Mt Maunganui's home of Old School and New School Rock!",mailto:kissfm@xtra.co.nz
Australia,Western Australia,"96FM

      Keep Real Music Alive",mailto:96fmonline@96fm.com.au
Australia,Victoria,"RN - ABC Radio National

      The ideas network.",
New Zealand,Whangarei,"FLAVA

      NZ's Home of Hip Hop & RnB",
New Zealand,Wellington,"Brian FM Marlborough

      Playing what we feel like",
New Zealand,Whangarei,"Magic Music FM

      The Little Station With The Big Sound",http://tunein.com/Syndication/Edit/?stationId=87355
Australia,Australian Capital Territory,"Mix 106.3

      Canberra's Best Mix",
Australia,Western Australia,"96Five Family Radio Digital

      English",mailto:socialmedia@96five.com
Australia,New South Wales,"Hope 103.2

      Sydney's Contemporary Christian Radio Station",
New Zealand,Timaru,"Radio New Zealand Concert

      Radio New Zealand's fine music network",mailto:concert@radionz.co.nz
New Zealand,Christchurch,"Dave FM

      Uninterrupted 70's, 80's and 90s!",
New Zealand,Invercargill,"Life FM

      Live it loud",mailto:Studio@lifefm.co.nz
New Zealand,Rotorua,"Niu FM

      English",
Australia,Queensland,"Radio Metro

      It's all about the music!",mailto:Info@radiometro.com.au
New Zealand,Wanganui,"More FM Wanganui

      More Music Variety",
Australia,Tasmania,"Way FM

      On The Right Track",mailto:wayinfo@wayfm.org.au
Australia,Queensland,"Magic 882

      The Songs You Know & Love",mailto:admin@magic882.com.au
Australia,New South Wales,"KIIS 106.5

      English",
Australia,Victoria,"KIIS 101.1

      The widest variety from 2K to today",mailto:info@mix1011.com.au
New Zealand,Queenstown,"George FM

      beats working...",mailto:studio@georgefm.co.nz
New Zealand,Tauranga,"George FM

      beats working...",
New Zealand,Dunedin,"Life FM

      Live it loud",mailto:Studio@lifefm.co.nz
New Zealand,Gisborne,"Radio Hauraki

      Radio Hauraki is a rock...",mailto:team@hauraki.co.nz
Australia,Victoria,"Fox hit 101.9

      Hits. Always.",
Australia,South Australia,"FIVEaa AM

      Adelaide's Leading Talk Station",
New Zealand,Hamilton,"George FM

      beats working...",mailto:studio@georgefm.co.nz
New Zealand,Auckland,"Boosh FM

      Dubstep/DnB to...",
American Samoa,Pago Pago,"KGIF

      English",http://tunein.com/Syndication/Edit/?stationId=156566
American Samoa,Pago Pago,"KKBT

      English",
Northern Mariana Islands,Saipan,"Magic 100.3

      English",mailto:kwaw100.3@magic100radio.com
New Zealand,Whangarei,"LiveSport

      Sport Radio You Can Bet On",http://tunein.com/Syndication/Edit/?stationId=229007
Australia,South Australia,"FIVEaa AM

      Adelaide's Leading Talk Station",mailto:onair@fiveaa.com.au
New Zealand,Queenstown,"Port Fm

      The Music Leader",
New Zealand,Wanganui,"Awa FM

      Connecting people to the river",
New Zealand,Gisborne,"Radio Hauraki

      Radio Hauraki is a rock...",
New Zealand,Timaru,"The Rock

      The Rock - cranking out...",
New Zealand,Auckland,"blurFM

      Keep It Locked.",
Australia,Queensland,"97.3 FM

      Brisbane's Widest Variety of Music from the '80's to Now",
Australia,New South Wales,"Triple M Sydney

      Sydney's Modern Rock",
Australia,More in...,"ABC Jazz

      Australia's only 24/7 jazz...",
American Samoa,Pago Pago,"KGIF

      English",
Australia,More in...,"SBS Chill

      Chill - World Music",mailto:chill@sbs.com.au
Australia,Victoria,"Kiss FM

      Dance Music Radio",
Australia,More in...,"Fine Music Digital

      English",
Australia,Victoria,"ABC Classic FM

      ABC Classic FM - The world's most beautiful music",http://tunein.com/Syndication/Edit/?stationId=53416
Australia,Victoria,"RSN Racing & Sport

      Racing & Sport",
Australia,New South Wales,"2UE

      Join The Conversation",
New Zealand,Otago,"Port Fm

      The Music Leader",
New Zealand,Christchurch,"Akaroa Radio

      Akaroa Community Radio",
Australia,Tasmania,"SBS PopDesi

      non-stop Desi pop",mailto:comments@sbs.com.au
Australia,Western Australia,"6PR

      Your City, Your Station!",
Northern Mariana Islands,Saipan,"KKMP

      English",
Australia,Victoria,"Magic 1278

      Playing The Best Songs Of All Time",
American Samoa,Pago Pago,"93KHJ

      American Samoa's #1 Hit Music Station",mailto:sunrise@khjradio.com
New Zealand,Gisborne,"RadioLIVE

      The New Voice of Talk Radio",
New Zealand,Invercargill,"Life FM

      Live it loud",
New Zealand,Hastings,"LiveSport

      Sport Radio You Can Bet On",
Federated States of Micronesia,More in...,"V6BC

      English",
New Zealand,More in...,"Radio Waatea

      Urban Maori Radio Listen",
Australia,Queensland,"Triple M Brisbane

      Brisbane's Widest Variety of Music",http://tunein.com/Syndication/Edit/?stationId=8764
