station     city  email
Gradski radio     Belgrade, Serbia  office@gradskiradio.rs
Radio Tasa  Kruševac, Serbia  kontakt@tasaradio.com
GÖKSUN Fm   Kahramanmaraş, Turkey   goksunradyo@hotmail.com.tr
Mavi Radyo  Elazig, Turkey    elazigalemfm@hotmail.com
Radio Kosava.fm   Belgrade, Serbia  kosavafm@gmail.com
Radyo Baris Tunceli, Turkey   info@baris.radyo.net
Radyo Besk  Giresun, Turkey   kumon28@hotmail.com
Radio Zrenjanin   Zrenjanin, Serbia redacija@radiozrenjanin.rs
Boom 93     Požarevac, Serbia office@boom93.com
Zahoracke Radio   Skalica, Slovakia radio@zahorackeradio.sk
Radio 016   Leskovac, Serbia  office@radio016.co.rs
Radio 1 Ptuj      Ptuj, Slovenia    info@radiogrom.si
Radyo Ozden Aydın, Turkey     radyoozden@hotmail.com
Cudi FM     Silopi, Turkey    obeni7bitirdi@gmail.com
Özlem FM    Tokat, Turkey     info@ozlemfm.com.tr
Radio Pingvin     Belgrade, Serbia  admin@smedia.rs
Radyo 2000  Osmaniye, Turkey  tolga2000fm@hotmail.com
Radio Skala Belgrade, Serbia  program@skalaradio.com
Radio Triglav     Tabor, Slovenia   info@radiotriglav.si
Radyo Renk  Osmaniye, Turkey  info@osmaniyerenkfm.com
ORT FM      Karsiyaka, Turkey info@ortfm.net
Radyo Ozgur Duzce, Turkey     radyoozgur@yandex.com.tr
Radio Index Subotica, Serbia  kontakt@indexradio.com
Radio Rinia Belgrade, Serbia  info@radiorinia.com
Radio Celje Ljubljana, Slovenia     radio@radiocelje.com
Radio Max Coka    Coka, Serbia      radiomaxcoka@mts.rs
Cagri FM    Çorum, Turkey     bilgi@cagrifm.com
Radyo Can   Can, Turkey iletisim@radyocanfm.com.tr
Radio Saska Mosna, Serbia     radiosaska@nadlanu.com
Tutku FM - Samsun Samsun, Turkey    tutkuradyo@hotmail.com.tr
Radyo Mega  Fatsa, Turkey     radyomega@radyomega.net
Radyo Best  Sivas, Turkey     radyobest@hotmail.com
Radio Tempo Polzela, Slovenia radio-tempo@siol.net
Radyo Hilal Mut, Turkey radyohilal@hotmail.com.tr
Raks FM     İzmit, Turkey     iletisim@raksfm.net
Radyo Dadas Erzurum, Turkey   info@radyodadas.net
Asya Radyo  Hatay, Turkey     asyaradyo@gmail.com
Radio Kiss  Lazarevac, Serbia radiokiss@veze.net
Radyo Medya Şanlıurfa, Turkey bilgi@radyomedya.net
