station,city,email,country
Heilongjiang Radio In Korean,"Harbin, Heilongjiang, China",873k@873k.com,China
Katsushika FM,"Tokyo, Japan",789@kfm789.co.jp,Japan
CDS 104.8 FM,"Dumai, Indonesia",cdsfm@mailcity.com,Indonesia
Peoples Radio,"Dhaka, Bangladesh",info@peoplesradio.fm,Bangladesh
Voice of navy 5 Pattaya,"Pattaya, Thailand",navyradio.n@hotmail.com,Thailand
The Confectionery,"Tokyo, Japan",theconfectioneryradio@gmail.com,Japan
EWAZ FM,"Haripur, Pakistan",info@ewaz.com.pk,Pakistan
Modern Radio Lamphun,"Lamphun, Thailand",ningnub@hotmail.com,Thailand
Hot FM 105 - Larkana,"Larkana, Pakistan",feedback@hotfm.com.pk,Pakistan
KBS 1R,"Sorae, South Korea",intl@kbs.co.kr,South Korea
CBS Busan Music FM,"Busan, South Korea",voice@cbs.co.kr,South Korea
FM Hi!,"Shizuoka, Japan",info@fmhi.co.jp,Japan
Chongqing News Radio,"Chongqing, Chongqing, China",cqbs@cqbs.com,China
Radio Damascus,"Damascus, Syrian Arab Republic",SRTV@rtv.gov.sy,Syrian Arab Republic
Best Radio Kaohsiung,"Kaohsiung City, Taiwan",bestservice@bestradio.com.tw,Taiwan
Radio Ninanta,"Lombok Timur, Indonesia",abah.trisno@facebook.com,Indonesia
TMFM,"Nablus, Palestinian Territory",info@tmfm.net,Palestinian Territory
Radio Buraq Sialkot,"Sialkot, Pakistan",comments@buraq.fm,Pakistan
Oranda Radio,"Nagai, Japan",info@oraqnda-radio.jp,Japan
KEEPS FM,"Kathmandu, Nepal",info@keepsfm.com,Nepal
DZGB,"Legazpi, Philippines",jmlocsin@gmail.com,Philippines
Radio Saraiki,"Multan, Pakistan",contact@saraiki.net,Pakistan
Radio NARITA,"Narita, Japan",message@narita.fm,Japan
Radio Atoni Lifau,"Lifau, Timor-Leste",menasila2000@ yahoo.com,Timor-Leste
Wave 89.1,"Manila, Philippines",wave891@wave891.fm,Philippines
Radio Strike,"Beirut, Lebanon",radiostrike@hotmail.com,Lebanon
Josh FM,"Karachi, Pakistan",feedback@joshfm99.com,Pakistan
Jilin City 110 Radio,"Changchun, Jilin, China",247166837@qq.com,China
RADIO RED 94.7 FM,"Dubai, United Arab Emirates",feedback@super947.fm,United Arab Emirates
Hefei Traffic Radio,"Hefei, Anhui, China",master@hfol.com.cn,China
Suria FM,"Kuala Lumpur, Malaysia",webmaster@suriafm.com.my,Malaysia
Radio Global Media Swara Fm Banyuwangi,"Banyuwangi, Indonesia",radioglobalmediaswara_fm@yahoo.com,Indonesia
Radio Nippon,"Yokohama, Japan",info@jorf.co.jp,Japan
Ilam FM,"Ilam, Nepal",ilamfminfo@gmail.com,Nepal
Devdaha FM,"Devdaha, Nepal",devdahafm@yahoo.com,Nepal
Kuwait 92.5,"Kuwait City, Kuwait",info@moinfo.gov.kw,Kuwait
Radio Makwanpur,"Hetauda, Nepal",info@radiomakawanpur.com.np,Nepal
Modern Radio Singburi,"Singburi, Thailand",FM_singburi@MCOT.NET,Thailand
Radio Liban Culture,"Beirut, Lebanon",info@radioliabnculture.com,Lebanon
VFM99,"Male, Maldives",info@vtv.com.mv,Maldives
Radio One,"Mumbai, India",actionfataafat@radioone.in,India
Elsi FM,"Bukittinggi, Indonesia",elsifm_bkt@yahoo.co.id,Indonesia
FM Beach Station,"Wakayama, Japan",info@fm764.com,Japan
Anna FM,"Guindy, TN, India",sreedher@annauniv.edu,India
中廣新聞網,"Hsin-ying, Taiwan",customer@ms1.bcc.com.tw,Taiwan
Prima 96.1 FM,"Serang, Indonesia",radioprima@gmail.com,Indonesia
Dil FM Gujrat,"Gujrat, Pakistan",info@fmdil.com,Pakistan
Kol Israel Reshet Dalet,"Jerusalem, Israel",radio-arab@iba.org.il,Israel
Radio Nepal,"Kathmandu, Nepal",rne@wlink.com.np,Nepal
JOYZ2Z-FM,"Ofunato, Japan",hisyo-ko@city.ofunato.iwate.jp,Japan
FM Kashima,"Kashima, Japan",fmk@767fm.com,Japan
Xuzhou Opera Radio,"Xuzhou, Jiangsu, China",radio@xzgd.com,China
Metro FM 94.6,"Kathmandu, Nepal",metrofmktm@gmail.com,Nepal
Dino FM Panyabungan,"Panyabungan, Indonesia",dinofm2010@gmail.com,Indonesia
Mitra FM Bengkulu Selatan,"Selatan, Indonesia",mitrafmonline@yahoo.co.id,Indonesia
Happy Radio - Taichung,"Taichung, Taiwan",service@musicvein.com.tw,Taiwan
Radio Pakistan - Chitral,"Chitral, Pakistan",info@radio.gov.pk,Pakistan
News FM,"Pak Chong, Thailand",zatannatt@hotmail.com.,Thailand
Radio Pakistan - Hyderabad II,"Hyderabad, Pakistan",info@radio.gov.pk,Pakistan
Radio Bheri,"Surkhet, Nepal",radiobheri@gmail.com,Nepal
Port Wave,"Yokkaichi, Japan",info@p-wave.ne.jp,Japan
Ban Ban Radio,"Kakogawa, Japan",radio@banban.co.jp,Japan
FM Shimabara,"Shimabara, Japan",884@shimabara.fm,Japan
DWRW,"San Fernando, Philippines",comments@rw95.fm,Philippines
