station,city,email,country
WKXN,"Fort Deposit, AL",wkxn@wkxn.com,USA
WJHO,"Alexander City, AL",wjho@wjhofm.com,USA
Fox 107.7,"Georgiana, AL",wfxx@fox107.com,USA
WJIK,"Fulton, AL",kelly@kdkr.org,USA
WOW 90.9,"Brewton, AL",info@wowradio.org,USA
WTBF-FM,"Brundidge, AL",wtbfjennifer@troycable.net,USA
the Q,"Camden, AL",info@q905.com,USA
Eagle 102.3,"Roanoke, AL",welr@eagle1023.com,USA
The Life FM,"Monroeville, AL",info@thelifefm.com,USA
WFAZ,"Goodwater, AL",bradley@vision909.com,USA
WAMI-FM,"Opp, AL",wami@oppcatv.com,USA
Kowaliga Country 97.5,"Goodwater, AL",jfktiger@gmail.com,USA
WFEB,"Sylacauga, AL",wfeb1340@mysylacauga.com,USA
WAAO,"Andalusia, AL",programming@waao.com,USA
Big Country,"Addison, AL",info@WQAH.com,USA
Alabama 100.7 FM,"Ashland, AL",alabama1007@aol.com,USA
Bama 106.1,"Grove Hill, AL",radiocenterjackson@yahoo.com,USA
KUHB-FM,"Saint Paul, AK",waltgregg@kuhbradio.org,USA
KSDP,"Sand Point, AK",GM@ ksdpradio.com,USA
KRBD,"Ketchikan, AK",gm@krbd.org,USA
KNOM-FM,"Nome, AK",knomgeneralmanager@gmail.com,USA
KIYU-FM,"Galena, AK",raven@kiyu.com,USA
KDLL,"Kenai, AK",allen@KDLLradio.org,USA
KFMJ,"Ketchikan, AK",kfmj@alaska.fm,USA
KICY,"Nome, AK",dennisw@kicy.org,USA
KCAM,"Glennallen, AK",kcam@kcam.org,USA
KBBI,"Homer, AK",dave@kbbi.org,USA
KMXT-HD2,"Kodiak, AK",gm@kmxt.org,USA
Icy 100.3 FM,"Nome, AK",dennisw@kicy.org,USA
KCAW,"Sitka, AK",raven@kcaw.org,USA
KIAM-FM,"North Nenana, AK",alaskaradio@vfcm.org,USA
KDLG,"Dillingham, AK",kdlg@dlgsd.org,USA
Victory Radio,"Naknek, AK",kakn@kakn.org,USA
Radio Kenai,"Soldotna, AK",rken18@radiokenai.com,USA
KDLG-FM,"Dillingham, AK",kdlg@dlgsd.org,USA
Terminal Radio,"Valdez, AK",gm@kchu.org,USA
KMXT,"Kodiak, AK",gm@kmxt.org,USA
KMXT-HD3,"Kodiak, AK",gm@kmxt.org,USA
KCUK,"Chevak, AK",Nauliaran@yahoo.com,USA
